name,category,review.point,price,description
"kilchoman 'inaugural release,' 46%",Single Malt Scotch,92,60,"aged 2.5 to 3 years on bourbon casks and then finished in sherry casks for 6 months. wow, this is quite stunning! old-fashioned in many respects: oily texture, with rooty, layered peat smoke, coal tar, shoe polish, and hints of wet sheep as the foundation for a complex array of additional flavors: toffee apple, caramel fudge, blackberry jam, golden raisin, grist, bourbon barrel char, and licorice root. long, smoldering ember, dried herb, light toffee finish. it’s all balanced perfectly, and very mature for its age. if you like smoky whiskies, track one down. (not available in the u.s.) £37.00"
"glen moray mastery, 52.3%",Single Malt Scotch,92,1000,"glen moray is celebrating its 120th anniversary with mastery, a vatting from 1978, 1988, 1994, 1999, and 2001. maturation—and finishing—has occurred in a mix of bourbon, sherry, madeira, and port casks. resinous sherry, smoky red wine, caramel, and vanilla on the nose. voluptuous on the palate, with sherry, succulent stewed fruit, soft toffee, and cocoa powder. long in the gently spiced finish, with port-soaked oak. (1,000 bottles)"
"mackinlay’s rare old highland whisky, 47.3%",Blended Scotch Whisky,92,162,"rarely has a blend caused as much excitement as this one, but with good reason. this is also known as the shackleton whisky, and is a recreation of the whisky abandoned in the antarctic by explorer ernest shackleton more than 100 years ago. it has lemon, spring blossom, and wafts of smoke on the nose. the taste is full and citrusy, with peat and pepper in attendance. beautifully balanced and outstanding, but there are just 50,000 bottles, so snap it up."
"ballantine’s 21 year old signature oak edition, 40%",Blended Scotch Whisky,92,140,"sandy hyslop has excelled at solely blending european oak sherry cask whiskies here. a dry, spicy nose to relish: rum-raisin ice cream, wafer biscuits, fennel seeds, roasted coriander, seasoned oak, and dense fruitcake. after the cinnamon toast crunch and toffee sweetness disrobe, a riot of spices cavorts across the tastebuds, bedding down to a flavor of spiced, chocolate-covered toffee bars. for cigar lovers, this demands a fine, robust smoke. (travel retail exclusive)"
"blue hanger 4th release berry bros. & rudd, 45.6%",Blended Malt Scotch Whisky,92,75,"this blue hanger has sherry and fruit on the nose, but it's all reined in. then the palate is big, rich, complex, and fruity, and late oakiness from some 30 year-plus malt in the mix brings the perfect finale. £61"
"blue hanger 7th release limited edition, 45.6%",Blended Malt Scotch Whisky,92,100,"what a success story. after six releases in a decade, there have been three just this year. this release is especially for the states, and it's a fireball. there are dried fruits and dusty bookshelves on the nose, and tropical fruits with water. on the palate it's a big, peaty, rich whisky with licorice and more of the pineapple, kiwifruit, and guava. you get the whole fairground in the finale, with candy, fruit, and smoke. excellent."
"blue hanger 11th limited release, 45.6%",Blended Malt Scotch Whisky,92,137,"it’s the intensity of flavor that just grabbed me by the lapels and spun me round. it harbors intense tangelo juiciness; that unparalleled concentration of deep citrus skillfully mingled with dark vanilla, dried apricots, and gentle smoke. this goes the distance, delivering wave after delicious wave: peach juice, mandarin, pineapple cubes, and lemon zest. a firm, unctuous finish shows a little charred wood and dark sugar cloaked in fine smoke. tongue pleasing and very special indeed. £90"
"big peat small batch, 53.6%",Blended Malt Scotch Whisky,92,48,"the original big peat was a mix of smoky islay malts and was already up there with the very best competition in the category, even though many of the others were bottled at cask strength. i scored it at 90. now it’s back to play in the big boys' pool with a killer cask strength whisky of its own. this is to whisky what ac/dc is to heavy rock: old school, predictable, but great and exactly what fans want."
"big peat christmas edition 2015, 53.8%",Blended Malt Scotch Whisky,92,70,"marginally less aggressive than in 2014, this big peat is more rounded and exhibits greater finesse. overall, it’s a better whisky. the invasive smoke still infiltrates the skull and clasps your brain tightly. a sweet smoke of smoldering hillside wildfire extinguished by rubber beaters, balanced by meadow flowers, tree blossom, and honey. sticky lemons smeared in thick honey, cracked black pepper, and a fabulous, almost gelatinous texture, it builds solidly in peaty intensity. knockout! a hot, smoky finish like dragon’s breath."
"william grant rare cask reserves ghosted reserve 21 year old, 42.8%",Blended Scotch Whisky,92,140,"a purity and fragility rarely encountered, with aromas as fleeting as footprints on wet sand: marshmallow, meringue, honey, and rose petals. a delicacy to the structure brings banana, caramel, spun sugar, and orange peel. the oak spices build slowly, making the lips throb from the inside. it’s an elaborate maze of ethereal suggestion and an apparition of calm beauty. it atrophies reluctantly, leaving tangy peels and lengthy sweetness anchored by spicy base notes. (12,000 bottles)"
"douglas laing old particular (distilled at cambus) 25 year old 1991, 62%",Single Grain Whisky,92,80,"a single cask from a refill hoggie, this bursts with vanilla fudge, cracked peppercorn, wood shavings, and apple strudel. incredibly fruity, with mouth-watering gummy bears, tangy orange, and dried pineapple, evolving from sweet fruits through to banana chews. diluting down from its considerable cask strength only pumps up the juiciness. to conclude, a long, creamy finish like a banana shake. evidently, terrific cask selection at work. (k&l wines exclusive, 246 bottles)"
"exclusive blend 1991 21 year old, 46%",Blended Malt Scotch Whisky,92,100,"from whisky connoisseur david stirk's exclusive malts single cask cask strength range, this is a blend made with 80% malt, and it shows. this is a beauty. it's also a ‘traffic light’ whisky, with the sort of whisky rancio associated with the oldest whiskies up front, peaches and cream and pureed fruit in the center, and changing to oaky spiciness late on. whisky with body, depth, and balance, which morph seamlessly. very good indeed."
"exclusive malts (distilled at cameronbridge) 1984 33 year old, 51.2%",Single Grain Whisky,92,225,"top notes of hay, honey, and caramel over a spicy core pulsating with pepper, rye, spiced quaker oats, and freshly planed wood. an epic battle ensues: round after round of citrus vs. spice, both growing stronger as they slug it out; jabs of sweetness meet a chastisingly nippy right hook, until, eventually exhausted, both protagonists drop their guard. dry crackling spice and sugared almonds run through a mighty long finish."
"the feathery, 40%",Blended Malt Scotch Whisky,92,66,"chocolate-covered raisins scoffed on a heathery moor, leather riding tack, intense plain chocolate, malt loaf, mixed nuts, medjool dates, and traces of wood ash. a gorgeous, unctuous mouthfeel with flavors spun around bright sparks of orange, dark toffee, and rich maltiness, melding to black cherry, stewed fruits, licorice, and charred oak. named for the leather golf balls packed with goose feathers used in the early 19th century. sink one for a birdie. from the bottlers of sheep dip. £39"
"the sovereign (distilled at cambus) 30 year old 1984, 49.4%",Single Grain Whisky,92,152,"the nose is bathed in aromas of lime, bergamot, lychee, and fresh pineapple cores. this is delicate, refined, and complex, with touches of fragrant spices and a calming influence of oak. a web of citrus strands, barley sugar, and toffee is shot through by wood spices and surpassed by a delicious butterscotch flavor that continues into the finish.  effortless, relaxed, and brilliant whisky, and quite frankly, i’m not sure you could find better 30 year old whisky at this price. £106"
"duncan taylor rare auld (distilled at girvan) 1974 40 year old, 53.7%",Single Grain Whisky,92,450,"this is an assured release, one not trying to be anything other than beautiful old grain whisky. caramel, aged oak, rose petals, and dried heather twigs, with touches of sweetness. the palate has a lovely substantial feel to it, the strength quite apparent, with soft sweet toffees, fleeting citrus and grapefruit, then aniseed tugging at your tongue. the finish is a gum-numbing, sweet decay of fading oaky memories. (78 bottles)"
"the five distinguished and rare 39 year old, 51%",Single Grain Whisky,92,216,"this is massive. it even pours thickly, as the aromas spill out of the glass: rich stewed apple, dry oak, a passing digestif trolley wobbling with dark sticky bottles, and currants on the tummy of a gingerbread man. there is a rum-like quality to the thick texture that lands squarely on the palate, bursting out with sweet apple and brown sugar. it hardly loses its grip after swallowing, dissipating almost imperceptibly against the approaching oak flavors. special indeed. (330 bottles, woodwinters wines & whiskies only) £150"
"pure scot virgin oak 43, 43%",Blended Scotch Whisky,92,50,"bladnoch master distiller ian macmillan’s blend is worth seeking out for its appealing freshness; green apple, caramel, shaved oak, toasted whole-grain bread, warm pastries, and dried peels. the palate is awash with bright flavors of honey, walnut, barley sugar, gingerbread in custard, orange taffy candy, and a little spice. it squeezes out more juicy peel oils the more you taste. the conclusion has sweet honey, gingerbread crumbs, and a citrus intensity."
"compass box, canto cask 46, 53.2%",Blended Malt Scotch Whisky,91,65,"aged in new french oak casks, with long-toasted heads. deliciously creamy, sweet, toasty profile with coconut cream, toasted marshmallow, toffee pudding, and honeyed vanilla. gentle spice notes (especially clove) and hints of fruit dance on the palate. very soothing. (bottled for park avenue liquors.) 
"
"compass box 'lady luck', 46%",Blended Malt Scotch Whisky,91,170,"a marriage of two casks of caol ila (25 and 29 years old) and one cask of imperial (14 years old). penetratingly smoky, visceral, rooty, and even mean-tempered at times, ultimately being soothed by creamy vanilla and thick malt. it’s peppered with licorice stick, dark chocolate, campfire charcoal, subtle olive brine, and teasing berried fruit. long, clinging finish. the flavors are nicely integrated and complex. well done! (a limited release.)
"
"compass box 3 year old deluxe, 49.2%",Blended Malt Scotch Whisky,91,300,"not the pimply youth you might be mistakenly expecting, this tongue-in-cheek release is impishly contemptuous of the regulations challenged by glaser during the transparency debate. lemon bonbon, heavy vanilla scents, beeswax boot polish, and white chocolate are well integrated with peat. the exotic fruits and citrus zest tumbling with golden syrup are knocked sideways by clove and pepper. water provokes more sweet smoke. a dry, spicy, waxy finish remains. (3,282 bottles)"
"compass box spice tree, 46%",Blended Malt Scotch Whisky,91,65,"the tastiest of their signature range, this boasts a dry oak and spice nose with fudge, rye bread, and banana interwoven with french oak influences of nutmeg, cinnamon, and ground ginger. as the gentle orange, malt, pear, and apple settle down, little spicy explosions of ginger and pepper detonate, leaving an aftermath of spiced malt, coffee cake, milk chocolate, and cocoa. such a wonderful flavor trajectory to behold."
"compass box great king street artist's blend, 43%",Blended Scotch Whisky,91,45,"after a series of esoteric and expensive releases, compass box has decided to bring it all back to the people with a blend — and how! the journey sets out as we might expect; all sweet vanilla ice cream, stewed pear tart, and peach melba, but then a wave of spice and white pepper provides an unexpected but delightful twist. it’s like spice tree meets hedonism…spiconism if you like."
"john walker & sons private collection 2014 edition, 46.8%",Blended Scotch Whisky,91,840,"smoke begins jim beveridge’s public replication of the annual directors blend concept, built around johnnie walker’s signature characteristics. peat smoke harks back to islay, but there’s wood smoke, tobacco leaf, and malt, with a salty richness behind it. the grain just gives it a lift of extra sweetness. polished, with great structure; red apple, raspberry, and sweet linctus wrap up with a long, smoky finish of cigar stub and peat stores. clear parallels with directors blend 2009, but better. (8,888 decanters released) £500"
"johnnie walker blue label ghost and rare, 46%",Blended Scotch Whisky,91,400,"this is much more muscular than the regular, un-haunted blue label. it delivers a multitude of flavors—butter toffee, sweet smoke, citrus peel, and dry spices—tantalizingly peeling off layer after layer, building a slow crescendo to a peak of spices and bitter citrus. mouth drawing with caramel, apple, pear, and sherbet, a mid-palate of zesty orange and baking spices before topping out with bitter peels, grapefruit, smoke, and sour hard candy."
"dewar's founder's reserve, 18 year old, 40%",Blended Scotch Whisky,91,80,"available for several years, but now finally making its debut in the u.s. the higher-end dewar’s expressions (dewar’s 12 year old and dewar’s signature) are very good blends. this one is situated smartly between the two. the malt proportion is rich and creamy; the grain whisky is crisp and well-integrated. antique gold color, with notes of butterscotch, vanilla wafer, strawberry rhubarb pie, and citrus drizzled with honey. lovely floral notes in the aroma, along with a pleasing, dried spice finish. i could drink this stuff all day long!"
"dewar’s 30 year old ne plus ultra, 40%",Blended Scotch Whisky,91,499,"this pedro ximénez-finished blend is the oldest dewar’s expression available. it offers a deliciously deep nose of chocolate-dipped biscuits, dried fruits, and orange peel. the palate includes indulgent rewards of berry fruit, chocolate praline, raspberry, cherry, dried cranberry, and hazelnut. it remains succulent throughout, the sherry fruit keeping the upper hand over the chocolate and batting away the occasional coffee note. a dry finish with nutty chocolate and roasted spice. (global travel retail only)"
"classic cask 23 year old original cask, 43%",Blended Scotch Whisky,91,160,"this archetypal midnight dram enthralls with aromas of cedar wood humidor, blossom honey, hazelnut, vanilla pod, treacle cake, and maple syrup. dry as leaves, save for some floaty florals. it’s less weighty than some whiskies at this age, with a balanced show of cinnamon, cocoa, berry fruits, dried grapefruit, hard peel, wood spices, dark toffee, and oak. a finish of dark vanilla, oak, spice, and leather make for a fine digestif. (782 bottles)"
"aberlour 18 year old, 43%",Single Malt Scotch,91,100,"there was an aberlour 18 on the market for a spell several years ago, aged in sherry casks, that i really enjoyed. now we have this new 18 year old expression. there are big shoes to fill, and this whisky fills them quite nicely. once again, the sherry is prominent throughout, with its lush fruit, velvety texture, and sweet demeanor. but it’s not cloying or sappy — the sherry blends in nicely with the rest of the flavors. ripe orange, apricot preserve, peach cobbler, chocolate-covered caramel, and toffee, with a sprinkling of cinnamon and cocoa. rich, silky smooth, satisfying finish. very impressive. the aberlour 18 year old’s reputation remains intact!"
"ardbeg ardbog, 52.1%",Single Malt Scotch,91,100,"the follow-up to last year’s ardbeg day, here’s the cult distillery in its funkiest
guise with a nose that’s reminiscent (i’d imagine) of a frontier trading post:
all pitch, furs, and gun oil. some mint hangs around in the background
alongside eucalyptus. this is an earthy, in-your-face ardbeg with a hint of
box-fresh sneakers indicating some youthfulness. the mouth is thick and chewy:
wild mint, oily depths, and the slightly manic energy typical of ardbeg’s young
years. editor's choice."
"ardbeg supernova committee bottling 2014, 55%",Single Malt Scotch,91,160,"pale and slightly flinty to start, with touches of caol lla-style salt-washed rocks, but here there’s sweetness, while the smoke gives it a mezcal-like air; pears and burning wood (hot brake pads), minerality, then green olive and a light medicinal note. with water, sashimi-style cleanliness. the palate is rounded, with real olive oil, peppery sweetness, soot, and white chocolate. a real ‘palate whisky,’ filled with bare-faced bravado.  a great ardbeg."
"ardbeg supernova 2015 release, 54.3%",Single Malt Scotch,91,160,"apparently this is the final supernova release and the ardbeg team has ensured it goes out with all guns blazing. although it seems calm initially—there’s a minty and sweet spicy element to the fore—the smoke begins to push through in the guise of creosote, then sootiness which, in turn, mingles with seaweed aromas. the peat dominates the palate but there is sufficient oiliness to round it out and add layers of smoked fish, and dried grasses. farewell."
"ardbeg dark cove committee edition, 55%",Single Malt Scotch,91,110,"this is the bigger, spicier, and more complex of the pair (see below). a prickly start leads to heavy peat smoke, pink and szechuan peppercorns, vanilla, dark chocolate, angelica, then seaweed. the palate is oily, with a detonation of gunpowdery peat, licorice, smoked eel, and a feral edge that adds grunt. layered and complex."
"ardbeg twenty something, 46.3%",Single Malt Scotch,91,550,"this 23 year old expression was released for the ardbeg committee. it includes whisky matured in sherry and bourbon casks. sweet asphalt, bonfire smoke, lemon sponge drizzled in iodine, and background cinnamon on the nose. succulent, sherried, and chocolate-coated orchard fruits on the oily palate, with vanilla and sweet peat. the peat dries slowly in the finish, with developing licorice, kippers, and peppery oak"
"ardbeg grooves, 46%",Single Malt Scotch,91,110,"the 2018 ardbeg day limited-edition bottling includes a proportion of spirit matured in red wine casks which have been heavily charred, leaving deep grooves in the surface of the oak. fragrant soft smoke, warm leather, and salty red berries on the nose; background charcuterie. the palate offers red berry fruits, vanilla, dense peat smoke, brine, and asphalt. beach bonfires and black pepper in the sweet finish."
"auchentoshan 21 year old, 43%",Single Malt Scotch,91,115,"i feel this is by far the best whisky in the standard auchentoshan portfolio, and it is one of the best auchentoshans ever released. it’s delicious, nicely balanced, and with lovely depth for a lowland whisky. baked muffins, creamy vanilla, honey, and caramel blend nicely with delicate fruit notes (lemon, red current, strawberries). an impeccably balanced whisky. similar to the 10 year old reviewed below, but with greater depth and a drier finish. 
"
"balblair 1995, 46%",Single Malt Scotch,91,80,"the latest balblair release is a 1995 vintage expression, exclusive to global travel retail outlets. matured in second-fill bourbon casks, balblair 1995 is non-chill filtered and naturally colored. initially very fruity on the nose, with peaches and carnations, icing sugar on bonbons, then a faint sprinkling of black pepper. stewed fruits on the early palate, full and confident, with developing spices and brittle toffee. relatively lengthy in the finish, with dark chocolate and soft oak. price is per 1 liter."
"the balvenie single barrel, 15 year old (cask #7266), 47.8%",Single Malt Scotch,91,62,"one of the finest balvenie 15 year olds i’ve tasted. the flavors are clean, well defined, confident, and beautifully balanced. full malty foundation (with some ripe barley thrown in). soft, creamy vanilla, honeycomb, bright fruit (orange, nectarine, lemon peel, hints of pineapple), with emerging dried vanilla, coconut, oak resin, and subtle anise. polished oak finish. it doesn’t have the depth that the classic older balvenies have shown in the past, but what it does have, it has in spades. beautiful! (a julio’s liquors exclusive.)"
"balvenie tun 1509, 47.1%",Single Malt Scotch,91,369,"this newbie from balvenie is the worldwide replacement for the market-specific tun 1401. a larger volume vat (8,000 liters) is now being filled with an equally eclectic mix of casks (42 casks ranging from 1970 to 1992). deep amber; this has substance but being balvenie, it’s gentle: orange blossom/manuka honey edged with spice, marmalade, scented woods, and a little frangipane. the palate shows a supple, rippling power with some apricot, cinnamon, and root ginger. awfully good. £230"
"balvenie portwood 21 year old, 40%",Single Malt Scotch,91,220,"this is the ultimate portwood expression from balvenie and has been finished in 30 year old port pipes. a more vibrant and textured travel retail variant is non-chill filtered and bottled at 47.6%. soft, red grape notes, vanilla, and milk chocolate on the nutty nose. very discreet smoke. rich plum flavors in the mouth, dark berries covered in cream, and spicy honey. the finish is long and elegantly drying."
"balvenie tun 1509 (batch 3), 52.2%",Single Malt Scotch,91,350,"the third batch in this series comprises twelve sherry butts distilled between 1989 and 1992, eleven american oak hogsheads from 1989, and eight refill american oak butts distilled in 1992 and 1993. rich sherry, honey, and malt notes on the nose, with figs and citrus peel. silky on the palate, with jaffa oranges, raisins, ginger, and plain chocolate. licorice, sherry, and spicy oak in the very long finish. (8,850 bottles)"
"adelphi (distilled at benriach) 1977 34 year old, 48.8%",Single Malt Scotch,91,283,"sweet and sherried, with plenty of sugar and toffee, moving into plums and thick chestnut honey. give it time, however, and a haunting note of dried mango and guava emerges, followed by amontillado-style nuttiness and then beeswax polish. all in all, just what you want from a gently-aged benriach. the palate may seem initially grippy, but there’s such a massing of fruits that it copes well. keep neat for maximum impact. superb. £180"
"benromach 1975, 49.9%",Single Malt Scotch,91,1600,"this vintage bottling was distilled during the 1970s and spent 41 years in a refill bourbon hogshead (#3434). spicy on the early nose, with fresh oak. increasingly malty, with ginger and apricot. the palate is rich and full, with jaffa orange, stewed apples, cocoa, and pipe tobacco. plain chocolate and increasingly tannic oak in the finish. ultimately, warming spicy citrus fruits and smoky black pepper. (162 bottles) £1,250"
"benromach 1977, 56%",Single Malt Scotch,91,"1,735","this 39 year old was matured in a single refill american hogshead. orange jujubes on the early nose, with vanilla, honey, and linseed. big, sweet, soft fruit notes on the palate, with pipe tobacco and a hint of background peat smoke. aniseed and ginger develop, along with the merest hint of old oak in the persistently fruity finish. £1,250; not available in the u.s. (225 bottles)"
"bowmore, 25 year old, 43%",Single Malt Scotch,91,160,"amber chestnut color. aromas of rich sherry, ripe fruit, toffee, molasses, peat smoke, damp oak, and nuts. medium to full in body. its flavors start out rich and sweet, with sherried fruit, toffee, and dark chocolate. it then becomes drier with notes of peat, smoked nuts, seaweed and brine, ultimately finishing with notes of spice, bitter chocolate, and smoky smoldering embers. 
   style: islay single malt scotch whisky. price: approx. $160. available at specialty retailers nationwide. 
   this is a new bottling of bowmore 25 year old and an improved one at that. it is richer, fuller, and more balanced than its predecessor. a wonderful dram indeed. the 17 year old was my favorite of the standard bowmore line. not anymore."
"bowmore, 18 year old, 43%",Single Malt Scotch,91,85,"this replaces the 17 year old in the standard bowmore portfolio. (the 17 year old will now be duty free only.) the difference is significant. this one is more sherried than the 17 year old, and it wears the sherry well. i know that many of you, like myself, adore the 17 year old. indeed, i feel that the 17 year old displays the true essence of bowmore. but this 18 year old integrates the sherry notes with the bowmore signature to create a richly flavored islay whisky experience. thick toffee, ripe fruit, and tar-tinged smoke are accentuated by dark chocolate, cocoa powder, burnt raisin, dates, and sea salt. long, entertaining finish. 
"
"duncan taylor (distilled at bowmore), cask #85013, 22 year, 1982 vintage, 58.9%",Single Malt Scotch,91,100,"a very clean, elegant bowmore with a naked beauty that shows its islay roots. you’ll find fresh brine and seaweed on a bed of honeyed malt and soft vanilla cream. subtle berries, citrus, and melon fruit add a complex fruit dimension. fresh, appetizing finish. nicely done! (exclusive to the party source.)"
"bowmore vault edition atlantic sea salt (first release), 51.5%",Single Malt Scotch,91,140,"this is the first of four bottlings in the vault edition series and was matured in bourbon barrels in the distillery’s famous no.1 vaults. nectarines in brine on the nose, with iodine and sweet spices. medium-bodied on the palate, with peaches, vanilla, salt, and slightly bitter orange. lingering orange notes in the finish, with cocoa powder and lots of salt. this expression lives up to its name!"
"brora, 25 year old, 56.3%",Single Malt Scotch,91,350,"quite lively for 25 years, with layers of bright fruit (lemon, nectarine, grapefruit, pineapple) on a bed of vanilla and honey. there’s a peppering of dried spice, smoldering ember, and beach pebbles. lightly smoky, dried spice finish. very nice. brora enthusiasts will not be disappointed, but the prices of the whisky from this shuttered distillery are creeping up.
"
"bruichladdich black art 05.1 1992, 48.4%",Single Malt Scotch,91,330,"as ever, the composition of black art is a closely guarded secret, and this is distiller adam hannett’s first such assembly. rich aromas of fig, succulent autumn berries, sherry, cream, and malt feature on the complex, floral nose. viscous on the palate, which opens dry, with developing berry fruits and spicy oak, plus dried fruits and candied peel. long and drying in the finish, with plum and peppery oak."
"bruichladdich 1986, 44.6%",Single Malt Scotch,91,"1,100","this expression was distilled in december 1986 and filled into seven oloroso sherry butts. in 2012 the whisky was transferred to pedro ximénez butts for finishing. the nose yields sultanas, figs, old leather, and white pepper. very sweet fruit notes on the palate, almost sugary, with background rich sherry, dates, and treacle. long and warming in the finish, with a wisp of smoke and fruit spices. (4,200 bottles)"
scott,Single Malt Scotch,91,130,"gold color with amber hues. mature aromas of toffee and nuts, marzipan and candied fruit. medium body and chewy in texture. a very mature whisky with evolutions of flavors-toffee, caramel, fudge, nuts, fruitcake, and a long finish that dries out very nicely. older expressions of bunnahabhain are often quite delicious, and this one is no exception. the dryness of the oak balances perfectly with the sweeter toffee notes of the whisky, and the extra age imparts considerable depth."
"caol ila feis ile bottling 2013, 56.5%",Single Malt Scotch,91,152,"although aged in refill, then active hoggies, and finally sherry, there’s more smoke
than oak here, a smoke like the aroma of a fire clinging to a tweed jacket. a
note akin to wilting spinach gives way to more conventional strawberries and
cream, but always mixed with seashore breezes. this is caol ila in deep and
bold mood with green fig, banana, and a sweet center. water gives greater
integration. you might (just) be able to get this. do it. (distillery only) £99"
"signatory (distilled at caol ila) 1984, 54.7%",Single Malt Scotch,91,258,"clearly caol ila; it’s the way that the oily smokiness seems to lean into the nose, bearing with it wet oilskins, a barely smoldering wood fire, light seashore elements (drying crab shells), and very pure fruit, which then opens to classic smoked ham aromas. retronasally, there’s a touch of green pea pod. the smokiness is more assertive than normal on the tongue, with olive oil, deep fruits, and a pine-scented juniper note. another belter. (the whisky exchange only) £155"
"clynelish, 57.3%",Single Malt Scotch,91,96,"there’s something enigmatic and highly attractive about this distillery and its deceased brother, brora. perhaps it’s the unpredictability; there are plenty of independent releases of varied and often questionable quality, and you’re never quite sure what’s going to turn up. even iconic expressions such as the 30 year olds can vary from quite sublime to appalling and sulfury when in the wrong hands.
when the malts from both distilleries are good, though — and the official bottlings tend to be — they’re very, very good. this clynelish is a delightful surprise from the beginning, its nose some way removed from the official 14 year old, and more in common with some recent diageo-release broras, mixing soft maritime notes with squiggly peat and some fruit notes. the palate is complex and attractive, with savory peat, sweet pineapple, salt, light fish, drizzled lemon, pepper, chili, and cardamom. it all makes for a big, complex, evolving (and grown up) whisky — and great value for the price tag. "
"cragganmore 25 year old (diageo special release 2014), 51.4%",Single Malt Scotch,91,500,"the question is how this stacks up against the friends of the classic malts bottling, one of my 2014 highlights. this shows mature distillery character with that discreet meaty undertow bedding down exuberant top notes: icing sugar on rhum baba, preserved lime, crystallized fruits, honey, pecan, fig, and scented woods. typical of cragganmore in its constantly shape-shifting character. the palate is concentrated orchard fruits, dried fruits, light spice, chestnut puree, and a little smoke. so yes, in the same league. (3,372 bottles)"
"the dalmore mackenzie, 1992 vintage, 46%",Single Malt Scotch,91,175,"a tribute to the mackenzie clan. aged in bourbon barrels for 11 years, and then aged an additional 6 years in port pipes, creating a rich, voluptuous, robust dalmore expression. notes of toffee, molasses, caramelized nuts, pancake batter, fig cake, and chocolate-covered citrus. subtle glazed ginger and orange marmalade add complexity. polished oak, tobacco-tinged finish. very dynamic and never sappy or cloying. save this one for after dinner."
"the dalmore distillery exclusive 1991, 59%",Single Malt Scotch,91,236,"staff members at dalmore selected this distillery-exclusive bottling, which has been drawn from american white oak cask number 446, and bottled at cask strength. the out-turn comprises 450 bottles. refined, polished oak on the nose. honey, marzipan, caramel, and vanilla. fragrant, with old leather and over-ripe oranges when water is added. warm leather, apricots, orange marmalade, cocoa powder, and developing spice on the palate. a long, spicy, citric finish. finally, licorice. £150"
"the dalmore 1969 aged 42 years, 45.5%",Single Malt Scotch,91,24000,"initially filled into an ex-bourbon cask, then transferred into a gonzales byass oloroso ‘matusalem’ sherry butt in 2005 for four years, before a final two years in a freshly-emptied bourbon barrel. the nose is initially floral, with overripe seville oranges, figs, ginger, and cocoa powder. peaches and almonds on the palate, before dark fruits and salted nuts appear. drying oak is held at bay, and the final note is fat and figgy. cask number 14; 233 bottles."
"the dalmore 21 year old, 42%",Single Malt Scotch,91,530,"dalmore released 8,000 bottles of its latest 21 year old, initially matured 10 years in american oak barrels before an 11 year period of secondary maturation in first-fill matusalem oloroso sherry butts from gonzalez byass. intense aromas of jaffa orange, marzipan, and ginger, plus soft oak. robust, yet stylish. smooth and well-rounded on the palate, with milky coffee, orange marmalade, cinnamon, and developing spicy dark chocolate. the lengthy finish is spicy, with licorice, a hint of citrus, and sweet oak."
"dalmore port collection vintage 1996, 45%",Single Malt Scotch,91,592,"dalmore launched a trio of vintages finished in tawny port pipes. the pick of the bunch is the oldest, distilled in 1996, which displays a confident, rich nose of raisins, mildly smoky prunes, vanilla, and blood orange. full-bodied in the mouth, with red berry fruits, ginger, white pepper, and spicy oak. medium-length in the finish, with coffee-soaked oak, figs, and damsons at the close. £450"
"glen grant 25 year old, 43%",Single Malt Scotch,91,407,"glen grant’s new(ish) owner campari is putting its money where its mouth is. investment in plant, wood, and an impressive visitor center is slowly being backed up with a series of new releases. this venerable example comes from gordon & macphail’s stocks, but is an official bottling due out in time for christmas. this is gg in relaxed, avuncular mode: subtle woods, amber, oolong tea, anise. the palate is old apple, fresh plum, cream, and ginger spiciness. £255(available at the distillery, in france, and travel retail in asia only.)"
"glen scotia 25 year old, 48.8%",Single Malt Scotch,91,320,"maturation took place in refill bourbon casks before a final 12-month period in first-fill bourbon casks. lemon, ginger, pine resin, and a hint of sea salt on the nose, then banoffee pie develops. luscious on the palate, with subtle spice, a touch of ashy smoke, and principally big orchard fruit notes. drying in the lengthy finish, with a wisp of smoke, brine, and peppery oak. glen scotia at its characterful best.£250"
"glen scotia 18 year old, 46%",Single Malt Scotch,91,113,"new for 2017, this was matured for 17 years in bourbon casks before being finished in oloroso sherry casks for 1 year. the nose is fragrant, with prunes, oranges, vanilla, and faint wood polish. ultimately, ozone. silky palate delivery, with sweet sherry, honey, and dark chocolate-coated orange fondant creams, then a note of angelica. the finish offers spicy plain chocolate and a suggestion of sea salt. £86"
"glencadam 25 year old the remarkable, 46%",Single Malt Scotch,91,500,"nutty on the nose, with a whiff of new leather and tropical fruit, plus the aroma of unsmoked cigars. complex on the full palate, with almonds, citrus fruit, ginger, plain chocolate, a slight herbal note, and sweet oak. the finish is long and spicy, with black pepper and increasing oak. an often underrated single malt at its very best. (1,600 bottles)"
"glendronach 25 year old grandeur (batch 7), 50.6%",Single Malt Scotch,91,850,"matured in oloroso sherry casks. confident plum, prune, and raisin notes on the early nose, with developing ripe cherries, sherried fudge, and resin. a slightly earthy undertone. viscous in the mouth—very sweet—with developing tingling spices, then darker fruit notes emerge, with licorice and plain chocolate. the finish is long, with enduring dark chocolate and fruity spice. (1,180 bottles)"
"glendronach single cask #5476, 49.9%",Single Malt Scotch,91,418,"the oldest of the fifteen expressions in batch 16 of glendronach’s single cask release program, this cask-strength offering has been matured for 26 years in a pedro ximénez sherry puncheon. the nose yields fresh-from-the-oven christmas cake, cherries, nutmeg, and sweet leather. viscous on the palate, with dark sherry, raisins, plain chocolate, tangy orange, and caramel. prickly chili and dates in the long finish. (546 bottles) £310"
